open,high,low,close,volume
120.75,120.75,120.75,120.75,999.0
120.9,120.9,120.9,120.9,113.0
120.56,120.56,120.56,120.56,975.0
120.98,120.98,120.98,120.98,350.0
120.56,120.56,120.56,120.56,5896.0
120.62,120.7,120.38,120.58,1571.0
121.01,121.01,121.01,121.01,102.0
121.0,121.01,121.0,121.01,1345.0
120.56,120.56,120.56,120.56,16187.0
120.56,120.56,120.56,120.56,172.0
120.56,120.56,120.56,120.56,6381.0
120.56,120.56,120.56,120.56,41852.0
120.63,120.72,120.47,120.59,97635.0
120.7,120.7,120.5809,120.6171,42643.0
120.81,120.81,120.62,120.6922,27380.0
120.915,120.97,120.8,120.81,23570.0
120.85,120.99,120.84,120.93,25579.0
120.8301,120.94,120.745,120.855,17661.0
120.82,120.95,120.75,120.83,17181.0
120.8,120.88,120.7373,120.825,18371.0
120.81,120.89,120.73,120.81,23094.0
120.48,120.785,120.33,120.785,37006.0
120.62,120.6675,120.375,120.5,28864.0
120.79,120.82,120.61,120.61,10902.0
120.84,120.84,120.7501,120.76,10355.0
120.82,120.86,120.79,120.84,13842.0
120.9,120.96,120.83,120.84,12386.0
121.07,121.07,120.92,120.92,10715.0
120.86,121.11,120.86,121.08,17159.0
120.91,120.91,120.835,120.855,10624.0
120.89,120.9,120.82,120.9,10449.0
120.8,120.87,120.715,120.865,10520.0
120.58,120.81,120.58,120.79,13143.0
120.78,120.78,120.51,120.57,13783.0
120.6694,120.8,120.6464,120.79,8058.0
120.72,120.8,120.64,120.64,11396.0
120.72,120.72,120.6,120.65,7973.0
120.73,120.79,120.62,120.69,16630.0
120.61,120.75,120.58,120.75,10860.0
120.59,120.685,120.54,120.61,6857.0
120.67,120.73,120.565,120.635,10361.0
120.61,120.68,120.52,120.68,8066.0
120.68,120.68,120.5599,120.635,12968.0
120.46,120.69,120.46,120.69,13952.0
120.25,120.45,120.24,120.43,11191.0
120.41,120.46,120.29,120.29,7230.0
120.33,120.42,120.251,120.38,11661.0
120.4226,120.4226,120.33,120.33,6322.0
120.46,120.48,120.4116,120.46,8707.0
120.34,120.6,120.34,120.47,13425.0
120.36,120.445,120.36,120.38,4603.0
120.5,120.58,120.322,120.33,27457.0
120.64,120.64,120.48,120.48,8183.0
120.5634,120.655,120.53,120.655,10380.0
120.51,120.64,120.46,120.55,6458.0
120.6901,120.705,120.4,120.48,36871.0
120.75,120.76,120.69,120.7,10241.0
120.86,120.91,120.78,120.79,7762.0
120.81,120.88,120.76,120.88,8660.0
120.71,120.88,120.69,120.83,14907.0
120.78,120.8,120.7,120.71,6495.0
120.82,120.85,120.74,120.75,8383.0
120.895,120.9,120.8,120.82,9232.0
121.0,121.04,120.89,120.92,4624.0
121.055,121.11,120.99,120.99,6072.0
120.925,121.095,120.9,121.0259,9140.0
120.91,121.01,120.85,120.91,10626.0
120.98,121.0107,120.87,120.88,8676.0
120.99,121.09,120.94,120.97,24273.0
121.04,121.04,120.925,120.97,6873.0
121.05,121.065,120.98,121.06,4816.0
121.035,121.05,120.97,121.0093,5892.0
121.005,121.12,121.005,121.04,7077.0
121.04,121.04,120.97,121.01,4456.0
121.08,121.1,121.0175,121.07,4731.0
120.9746,121.06,120.96,121.06,3119.0
120.7993,120.97,120.7849,120.88,10492.0
120.86,120.88,120.72,120.79,7419.0
120.9,120.9,120.77,120.83,8966.0
120.965,121.0,120.88,120.9112,8053.0
121.02,121.02,120.9,120.96,5108.0
121.02,121.06,121.01,121.025,3930.0
120.96,121.12,120.86,121.03,23312.0
120.96,121.0,120.92,120.96,5460.0
120.94,121.0,120.92,120.99,9687.0
120.95,121.165,120.9,120.99,14574.0
120.835,120.95,120.81,120.92,10857.0
121.01,121.03,120.82,120.8305,5231.0
120.99,121.0451,120.94,120.96,5013.0
121.035,121.035,120.875,120.97,4375.0
121.02,121.05,120.93,121.04,5193.0
121.14,121.14,120.93,120.97,4353.0
121.12,121.145,121.08,121.145,4497.0
121.0387,121.17,121.0,121.1,3410.0
121.13,121.135,121.04,121.04,6605.0
121.04,121.155,121.04,121.14,5174.0
121.0,121.0856,120.91,121.07,9704.0
121.14,121.155,120.965,121.005,12302.0
121.0,121.17,121.0,121.17,10924.0
121.02,121.16,121.02,121.02,11095.0
121.0,121.04,120.83,121.01,12402.0
120.97,121.13,120.95,121.0148,13207.0
121.1001,121.14,120.93,120.985,30978.0
121.3386,121.38,121.08,121.08,25578.0
121.38,121.38,121.28,121.35,8479.0
121.48,121.49,121.4,121.42,5932.0
121.33,121.5,121.33,121.5,9523.0
121.34,121.405,121.33,121.33,6208.0
121.58,121.583,121.33,121.35,8062.0
121.5,121.6,121.47,121.51,8765.0
121.4,121.48,121.3733,121.48,4560.0
121.42,121.49,121.39,121.4,5112.0
121.37,121.5,121.37,121.423,6995.0
121.4664,121.475,121.37,121.385,9120.0
121.57,121.587,121.46,121.46,10040.0
121.57,121.5916,121.52,121.59,9410.0
121.66,121.66,121.5376,121.56,10272.0
121.69,121.72,121.67,121.67,5128.0
121.73,121.82,121.65,121.7,13011.0
121.8,121.8118,121.74,121.7478,4330.0
121.8164,121.86,121.79,121.81,5946.0
121.89,121.93,121.85,121.86,4266.0
121.8,121.87,121.79,121.87,4195.0
121.906,121.906,121.73,121.76,6024.0
121.82,121.91,121.8,121.91,3576.0
121.84,121.84,121.81,121.83,4205.0
121.83,121.85,121.81,121.84,3836.0
121.77,121.8568,121.74,121.8568,7968.0
121.77,121.77,121.725,121.73,2797.0
121.68,121.8,121.67,121.79,6995.0
121.59,121.6953,121.5795,121.69,3981.0
121.58,121.727,121.56,121.61,4061.0
121.62,121.64,121.6,121.6,4075.0
121.69,121.69,121.59,121.61,6709.0
121.77,121.78,121.6878,121.705,3889.0
121.7,121.78,121.7,121.76,4041.0
121.66,121.72,121.66,121.685,3399.0
121.66,121.68,121.64,121.64,2881.0
121.62,121.68,121.62,121.66,3910.0
121.63,121.7,121.61,121.64,5181.0
121.7399,121.7399,121.63,121.64,4489.0
121.71,121.76,121.71,121.7268,3915.0
121.73,121.73,121.63,121.68,3815.0
121.77,121.81,121.74,121.74,3426.0
121.77,121.7825,121.75,121.77,2472.0
121.78,121.79,121.7599,121.77,2809.0
121.72,121.81,121.7179,121.8,2380.0
121.76,121.76,121.7,121.7,3266.0
121.83,121.83,121.77,121.77,2316.0
121.81,121.83,121.81,121.83,2863.0
121.82,121.83,121.81,121.82,3689.0
121.84,121.8599,121.76,121.81,4597.0
121.88,121.9,121.84,121.85,3036.0
121.89,121.916,121.85,121.87,2747.0
121.96,121.96,121.895,121.91,3414.0
122.015,122.02,121.97,121.99,3312.0
121.94,122.025,121.94,122.0,3789.0
121.9847,122.03,121.93,121.94,5381.0
122.04,122.04,121.97,122.01,2662.0
122.0,122.1,121.97,122.05,6863.0
121.91,122.06,121.91,121.99,18718.0
121.7,121.88,121.69,121.87,16407.0
121.6471,121.7118,121.6471,121.7,5336.0
121.76,121.8,121.7,121.7,6771.0
121.86,121.8951,121.65,121.76,17897.0
121.86,121.87,121.83,121.85,5053.0
121.93,121.935,121.865,121.865,11732.0
121.98,122.0,121.9099,121.9099,5933.0
122.01,122.01,121.98,121.98,2222.0
122.075,122.08,122.0,122.0,2359.0
122.11,122.13,122.06,122.06,4383.0
122.1,122.12,122.085,122.11,4019.0
121.96,122.1075,121.96,122.1075,7195.0
121.99,122.04,121.95,121.95,19746.0
121.92,121.99,121.92,121.97,4235.0
121.94,121.95,121.89,121.9,2754.0
121.9,121.97,121.9,121.95,3695.0
121.88,121.91,121.87,121.89,4507.0
121.86,121.89,121.84,121.86,3296.0
121.8334,121.85,121.82,121.84,2447.0
121.8,121.85,121.77,121.83,3372.0
121.83,121.88,121.8,121.8,3782.0
121.8204,121.835,121.8,121.82,3333.0
121.78,121.815,121.75,121.8,3624.0
121.76,121.79,121.7447,121.79,1873.0
121.71,121.71,121.655,121.7,6959.0
121.755,121.78,121.71,121.72,4903.0
121.82,121.82,121.705,121.74,6253.0
121.84,121.894,121.82,121.84,8320.0
121.74,121.86,121.73,121.85,8716.0
121.74,121.78,121.73,121.7499,5168.0
121.805,121.83,121.74,121.76,5161.0
121.73,121.83,121.73,121.77,7117.0
121.715,121.77,121.695,121.745,6326.0
121.74,121.74,121.71,121.71,2109.0
121.76,121.77,121.71,121.755,7197.0
121.7,121.7679,121.68,121.7679,6172.0
121.7,121.73,121.68,121.68,4731.0
121.66,121.72,121.66,121.69,3448.0
121.65,121.73,121.64,121.66,5814.0
121.66,121.69,121.62,121.67,2302.0
121.57,121.675,121.56,121.66,5302.0
121.54,121.59,121.5,121.58,11180.0
121.59,121.59,121.5,121.52,4891.0
121.5999,121.66,121.58,121.59,10396.0
121.61,121.61,121.5,121.5751,9417.0
121.5363,121.62,121.5363,121.62,8412.0
121.68,121.68,121.55,121.55,10409.0
121.7,121.72,121.68,121.69,3961.0
121.68,121.74,121.67,121.71,7101.0
121.66,121.68,121.63,121.67,3564.0
121.6481,121.68,121.5999,121.61,5468.0
121.59,121.68,121.54,121.59,6580.0
121.69,121.75,121.5999,121.62,7878.0
121.71,121.7195,121.63,121.66,4443.0
